ID;Idade;Genero;Escolaridade;Renda_Faixa;Regiao;Plataforma_Principal;Horas_Dia_Media;Dispositivo_Principal;Freq_Uso_Noticias;Confianca_Midia_1a10;Compartilha_Noticias;Assina_Jornal_Digital;Gasto_Mensal_Midia_R$;Satisfacao_Conteudo_1a10;Cluster_Sugerido
186;43;Masculino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;3.5;Notebook;Nunca;6;Não;Sim;19.96;10;Info Seeker
187;40;Feminino;Superior Completo;2-5 SM;Sudeste;Facebook;3.0;Notebook;Semanalmente;4;Não;Não;196.65;3;Tradicional
188;34;Feminino;Superior Completo;10-20 SM;Nordeste;TikTok;2.3;Smartphone;Nunca;6;Não;Não;166.76;3;Info Seeker
189;24;Feminino;Pós-Graduação;Até 2 SM;Norte;TikTok;4.4;Smartphone;Diariamente;5;Sim;Não;175.59;5;Heavy Digital
190;18;Feminino;Superior Completo;2-5 SM;Norte;Instagram;5.0;Notebook;Várias vezes ao dia;2;Sim;Não;92.92;7;Consumidor Moderado
191;29;Feminino;Superior Incompleto;10-20 SM;Norte;TikTok;3.3;Smartphone;Raramente;6;Sim;Sim;82.81;3;Consumidor Moderado
192;45;Feminino;Superior Completo;2-5 SM;Centro-Oeste;Facebook;1.1;Smartphone;Diariamente;4;Sim;Não;39.02;5;Consumidor Moderado
193;37;Feminino;Superior Completo;2-5 SM;Centro-Oeste;LinkedIn;4.9;Smartphone;Diariamente;4;Sim;Sim;197.01;4;Info Seeker
194;20;Masculino;Superior Completo;2-5 SM;Norte;TikTok;3.9;Smart TV;Raramente;3;Sim;Não;13.82;4;Info Seeker
195;37;Masculino;Médio;5-10 SM;Sul;Instagram;2.0;Desktop;Nunca;4;Sim;Não;30.94;9;Heavy Digital
196;39;Masculino;Pós-Graduação;Até 2 SM;Sul;X/Twitter;3.0;Notebook;Nunca;7;Não;Não;123.15;8;Tradicional
197;24;Feminino;Médio;5-10 SM;Nordeste;TikTok;6.9;Smartphone;Raramente;3;Não;Sim;103.09;6;Consumidor Moderado
198;36;Masculino;Superior Incompleto;5-10 SM;Norte;YouTube;4.1;Smartphone;Semanalmente;7;Não;Não;73.14;3;Tradicional
199;35;Feminino;Superior Completo;Acima 20 SM;Nordeste;WhatsApp;2.3;Tablet;Nunca;7;Sim;Não;113.26;5;Tradicional
200;21;Feminino;Superior Completo;Até 2 SM;Nordeste;TikTok;6.9;Smartphone;Semanalmente;6;Não;Sim;14.21;4;Consumidor Moderado
201;39;Masculino;Superior Completo;Até 2 SM;Nordeste;WhatsApp;3.3;Smartphone;Várias vezes ao dia;7;Não;Sim;36.77;9;Consumidor Moderado
202;41;Feminino;Pós-Graduação;5-10 SM;Sul;Spotify;3.9;Notebook;Várias vezes ao dia;7;Sim;Não;16.07;10;Consumidor Moderado
203;47;Masculino;Superior Completo;5-10 SM;Centro-Oeste;Globoplay;3.0;Notebook;Semanalmente;6;Sim;Não;139.5;8;Info Seeker
204;47;Masculino;Superior Completo;5-10 SM;Norte;WhatsApp;3.1;Smartphone;Semanalmente;8;Não;Não;25.54;6;Consumidor Moderado
205;18;Feminino;Superior Completo;5-10 SM;Nordeste;YouTube;3.9;Notebook;Várias vezes ao dia;6;Sim;Não;23.22;3;Consumidor Moderado
206;23;Feminino;Fundamental;10-20 SM;Norte;YouTube;3.7;Desktop;Raramente;4;Não;Não;167.53;10;Consumidor Moderado
207;41;Feminino;Superior Incompleto;2-5 SM;Nordeste;WhatsApp;3.9;Smartphone;Nunca;4;Não;Não;18.9;3;Heavy Digital
208;41;Masculino;Superior Completo;Até 2 SM;Sul;Spotify;1.7;Smartphone;Semanalmente;7;Não;Sim;135.59;5;Heavy Digital
209;41;Masculino;Médio;5-10 SM;Sudeste;LinkedIn;2.7;Smartphone;Nunca;6;Não;Não;186.15;10;Consumidor Moderado
210;75;Masculino;Superior Incompleto;2-5 SM;Nordeste;WhatsApp;1.7;Smartphone;Nunca;6;Sim;Não;85.24;9;Consumidor Moderado
211;41;Masculino;Pós-Graduação;2-5 SM;Nordeste;WhatsApp;1.5;Smartphone;Várias vezes ao dia;7;Sim;Não;52.24;7;Consumidor Moderado
212;48;Masculino;Superior Incompleto;2-5 SM;Sudeste;YouTube;2.3;Smart TV;Semanalmente;8;Sim;Sim;163.65;7;Consumidor Moderado
213;46;Feminino;Superior Incompleto;10-20 SM;Sudeste;Facebook;2.2;Notebook;Várias vezes ao dia;5;Não;Não;129.67;6;Consumidor Moderado
214;42;Masculino;Superior Incompleto;Até 2 SM;Nordeste;Spotify;2.1;Notebook;Várias vezes ao dia;8;Não;Não;186.21;5;Consumidor Moderado
215;31;Feminino;Fundamental;Até 2 SM;Nordeste;Facebook;3.8;Smartphone;Raramente;6;Sim;Não;58.9;6;Consumidor Moderado
216;44;Feminino;Superior Incompleto;2-5 SM;Norte;YouTube;2.9;Smartphone;Semanalmente;4;Sim;Não;153.93;10;Consumidor Moderado
217;25;Masculino;Pós-Graduação;2-5 SM;Nordeste;YouTube;4.5;Smartphone;Nunca;6;Sim;Não;147.46;10;Info Seeker
218;32;Feminino;Superior Incompleto;Até 2 SM;Centro-Oeste;YouTube;4.9;Desktop;Raramente;7;Não;Sim;13.47;10;Info Seeker
219;29;Masculino;Fundamental;Acima 20 SM;Sul;Instagram;5.2;Smartphone;Semanalmente;5;Não;Não;12.42;7;Info Seeker
220;35;Masculino;Médio;2-5 SM;Nordeste;YouTube;5.1;Desktop;Diariamente;6;Sim;Sim;6.95;6;Consumidor Moderado
221;62;Masculino;Pós-Graduação;Até 2 SM;Centro-Oeste;YouTube;2.0;Notebook;Semanalmente;6;Sim;Não;40.36;8;Tradicional
222;18;Masculino;Superior Incompleto;10-20 SM;Nordeste;Netflix;3.9;Desktop;Diariamente;4;Não;Não;154.29;8;Heavy Digital
223;43;Masculino;Superior Incompleto;Até 2 SM;Sudeste;TikTok;1.4;Smartphone;Raramente;7;Sim;Não;6.66;4;Heavy Digital
224;18;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Instagram;6.2;Smartphone;Raramente;5;Sim;Não;193.29;9;Info Seeker
225;29;Masculino;Superior Incompleto;Até 2 SM;Centro-Oeste;YouTube;3.5;Desktop;Raramente;5;Sim;Sim;30.15;8;Tradicional
226;48;Feminino;Pós-Graduação;Até 2 SM;Norte;YouTube;2.9;Smartphone;Diariamente;5;Não;Não;73.17;7;Tradicional
227;35;Masculino;Superior Completo;5-10 SM;Sudeste;Facebook;4.1;Desktop;Diariamente;4;Sim;Não;30.75;5;Consumidor Moderado
228;22;Masculino;Superior Incompleto;Até 2 SM;Sudeste;Spotify;7.7;Smartphone;Diariamente;3;Não;Sim;73.11;5;Consumidor Moderado
229;26;Feminino;Superior Completo;2-5 SM;Norte;Instagram;3.1;Desktop;Diariamente;7;Sim;Não;71.54;6;Consumidor Moderado
230;43;Feminino;Pós-Graduação;2-5 SM;Sudeste;Facebook;2.6;Desktop;Semanalmente;5;Não;Não;112.11;3;Info Seeker
231;26;Feminino;Superior Completo;10-20 SM;Sul;YouTube;4.8;Smartphone;Nunca;4;Não;Não;81.21;9;Heavy Digital
232;37;Feminino;Médio;Até 2 SM;Norte;YouTube;3.2;Desktop;Várias vezes ao dia;6;Sim;Não;78.34;8;Consumidor Moderado
233;35;Feminino;Médio;10-20 SM;Nordeste;WhatsApp;5.9;Tablet;Raramente;3;Não;Não;142.51;5;Heavy Digital
234;27;Masculino;Médio;Até 2 SM;Nordeste;Instagram;3.0;Smartphone;Várias vezes ao dia;3;Não;Não;93.87;4;Tradicional
235;60;Masculino;Superior Completo;5-10 SM;Sudeste;WhatsApp;1.5;Desktop;Diariamente;9;Não;Não;30.8;9;Heavy Digital
236;42;Feminino;Pós-Graduação;5-10 SM;Norte;Instagram;1.5;Smartphone;Diariamente;7;Não;Não;59.59;5;Consumidor Moderado
237;18;Masculino;Superior Completo;5-10 SM;Nordeste;Instagram;4.4;Smartphone;Várias vezes ao dia;2;Sim;Sim;105.29;5;Consumidor Moderado
238;37;Masculino;Superior Incompleto;2-5 SM;Norte;Instagram;4.6;Smartphone;Diariamente;5;Sim;Não;120.83;9;Heavy Digital
239;27;Feminino;Superior Completo;Até 2 SM;Nordeste;Globoplay;2.7;Notebook;Raramente;5;Sim;Não;107.47;10;Consumidor Moderado
240;45;Masculino;Médio;2-5 SM;Centro-Oeste;YouTube;1.2;Smartphone;Várias vezes ao dia;6;Sim;Não;47.5;3;Heavy Digital
241;25;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Spotify;4.9;Smartphone;Diariamente;5;Sim;Não;58.3;10;Tradicional
242;33;Feminino;Médio;2-5 SM;Nordeste;Instagram;4.9;Smartphone;Raramente;4;Sim;Sim;37.21;5;Info Seeker
243;41;Masculino;Pós-Graduação;2-5 SM;Sudeste;YouTube;3.2;Notebook;Diariamente;4;Sim;Não;76.96;10;Tradicional
244;45;Feminino;Superior Completo;Acima 20 SM;Nordeste;Facebook;3.1;Smartphone;Diariamente;4;Sim;Não;37.1;5;Consumidor Moderado
245;20;Feminino;Superior Completo;Até 2 SM;Centro-Oeste;YouTube;6.4;Notebook;Semanalmente;6;Sim;Não;31.25;6;Heavy Digital
246;30;Feminino;Superior Incompleto;5-10 SM;Nordeste;YouTube;3.4;Tablet;Diariamente;4;Sim;Não;101.69;8;Tradicional
247;29;Masculino;Médio;Até 2 SM;Norte;X/Twitter;5.2;Notebook;Semanalmente;7;Sim;Não;114.08;3;Consumidor Moderado
248;27;Masculino;Superior Completo;5-10 SM;Nordeste;YouTube;5.6;Smartphone;Raramente;4;Sim;Não;177.7;9;Tradicional
249;56;Masculino;Superior Completo;5-10 SM;Nordeste;Facebook;1.6;Smartphone;Nunca;8;Sim;Não;147.99;9;Info Seeker
250;39;Masculino;Superior Completo;2-5 SM;Nordeste;WhatsApp;5.1;Smart TV;Várias vezes ao dia;7;Não;Não;26.04;8;Info Seeker
251;19;Feminino;Superior Completo;Até 2 SM;Norte;TikTok;4.3;Desktop;Semanalmente;2;Sim;Não;130.67;4;Heavy Digital
252;46;Masculino;Superior Completo;2-5 SM;Norte;WhatsApp;2.3;Smartphone;Várias vezes ao dia;8;Não;Não;60.44;3;Heavy Digital
253;60;Feminino;Médio;Até 2 SM;Norte;Netflix;1.3;Notebook;Várias vezes ao dia;7;Sim;Não;145.29;6;Heavy Digital
254;47;Masculino;Fundamental;5-10 SM;Norte;Facebook;1.9;Tablet;Diariamente;5;Não;Não;177.93;7;Heavy Digital
255;18;Feminino;Superior Completo;Até 2 SM;Norte;Instagram;3.3;Smart TV;Semanalmente;5;Sim;Não;15.61;5;Heavy Digital
256;29;Masculino;Superior Incompleto;2-5 SM;Centro-Oeste;Instagram;5.4;Smartphone;Raramente;6;Sim;Não;76.27;7;Heavy Digital
257;50;Masculino;Superior Completo;Até 2 SM;Norte;Facebook;3.6;Smartphone;Várias vezes ao dia;4;Não;Não;21.83;7;Info Seeker
258;26;Feminino;Médio;Até 2 SM;Nordeste;WhatsApp;2.0;Smartphone;Nunca;6;Não;Não;130.58;3;Consumidor Moderado
259;40;Masculino;Superior Completo;5-10 SM;Sudeste;Instagram;1.2;Notebook;Semanalmente;4;Não;Sim;6.15;6;Heavy Digital
260;44;Masculino;Fundamental;Até 2 SM;Norte;TikTok;3.7;Desktop;Diariamente;4;Sim;Não;74.09;3;Heavy Digital
261;23;Masculino;Médio;Até 2 SM;Centro-Oeste;WhatsApp;5.6;Smartphone;Semanalmente;6;Não;Não;52.98;6;Consumidor Moderado
262;34;Masculino;Superior Completo;10-20 SM;Norte;YouTube;2.1;Smartphone;Diariamente;5;Sim;Não;107.98;4;Heavy Digital
263;18;Masculino;Superior Completo;5-10 SM;Sudeste;Instagram;3.4;Smartphone;Semanalmente;5;Não;Não;7.15;4;Tradicional
264;22;Feminino;Pós-Graduação;Até 2 SM;Norte;Netflix;3.1;Smartphone;Diariamente;4;Sim;Não;99.36;10;Info Seeker
265;31;Feminino;Superior Incompleto;Acima 20 SM;Nordeste;Instagram;3.8;Smartphone;Diariamente;5;Sim;Sim;103.51;3;Tradicional
266;20;Feminino;Superior Incompleto;Até 2 SM;Norte;TikTok;3.6;Smartphone;Nunca;3;Não;Não;47.51;4;Info Seeker
267;54;Feminino;Fundamental;2-5 SM;Sudeste;Globoplay;3.8;Notebook;Várias vezes ao dia;6;Sim;Não;124.87;4;Info Seeker
268;18;Feminino;Superior Incompleto;10-20 SM;Sudeste;Instagram;6.5;Notebook;Semanalmente;3;Não;Não;51.38;5;Info Seeker
269;29;Feminino;Médio;2-5 SM;Centro-Oeste;Facebook;3.2;Notebook;Raramente;5;Sim;Não;86.7;9;Info Seeker
270;36;Masculino;Pós-Graduação;Até 2 SM;Centro-Oeste;WhatsApp;5.5;Notebook;Diariamente;3;Não;Não;163.84;6;Heavy Digital
271;52;Masculino;Médio;2-5 SM;Norte;WhatsApp;2.5;Smartphone;Raramente;8;Sim;Não;26.95;3;Consumidor Moderado
272;18;Masculino;Superior Completo;Acima 20 SM;Sudeste;Instagram;4.8;Smartphone;Diariamente;3;Sim;Não;49.79;9;Consumidor Moderado
273;48;Masculino;Superior Completo;10-20 SM;Norte;X/Twitter;2.9;Notebook;Semanalmente;4;Não;Não;76.27;9;Heavy Digital
274;35;Masculino;Médio;Até 2 SM;Norte;WhatsApp;5.5;Smart TV;Nunca;7;Sim;Não;124.96;5;Tradicional
275;23;Masculino;Superior Incompleto;5-10 SM;Norte;Spotify;5.4;Smartphone;Diariamente;5;Sim;Não;129.63;8;Heavy Digital
276;40;Masculino;Superior Completo;2-5 SM;Centro-Oeste;X/Twitter;2.9;Smartphone;Várias vezes ao dia;7;Não;Não;184.29;3;Consumidor Moderado
277;37;Masculino;Superior Completo;5-10 SM;Nordeste;TikTok;4.5;Desktop;Semanalmente;5;Não;Não;178.23;7;Consumidor Moderado
278;27;Feminino;Médio;2-5 SM;Norte;WhatsApp;5.0;Smartphone;Semanalmente;3;Sim;Não;127.14;3;Consumidor Moderado
279;35;Masculino;Pós-Graduação;2-5 SM;Norte;WhatsApp;5.0;Tablet;Diariamente;7;Sim;Não;121.98;6;Heavy Digital
280;30;Feminino;Superior Completo;2-5 SM;Norte;TikTok;3.1;Smartphone;Várias vezes ao dia;3;Não;Não;158.04;7;Heavy Digital
281;36;Masculino;Superior Incompleto;2-5 SM;Nordeste;YouTube;5.5;Notebook;Diariamente;3;Não;Não;10.49;6;Info Seeker
282;42;Masculino;Superior Incompleto;Até 2 SM;Centro-Oeste;Instagram;1.6;Smartphone;Semanalmente;8;Não;Não;73.44;6;Tradicional
283;54;Masculino;Superior Completo;Acima 20 SM;Sudeste;Netflix;3.7;Smartphone;Nunca;5;Não;Não;103.62;5;Heavy Digital
284;20;Masculino;Superior Incompleto;10-20 SM;Sul;Instagram;7.1;Smartphone;Diariamente;2;Não;Não;1.1;5;Info Seeker
285;60;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Globoplay;2.6;Smartphone;Raramente;8;Não;Não;159.37;4;Info Seeker
286;18;Masculino;Médio;2-5 SM;Centro-Oeste;Instagram;3.1;Smartphone;Nunca;5;Sim;Não;178.38;9;Tradicional
287;33;Outro;Superior Completo;10-20 SM;Norte;Netflix;2.6;Smartphone;Várias vezes ao dia;4;Sim;Não;129.64;3;Heavy Digital
288;42;Feminino;Pós-Graduação;2-5 SM;Centro-Oeste;Instagram;3.5;Notebook;Nunca;8;Sim;Sim;106.08;8;Consumidor Moderado
289;38;Feminino;Médio;Até 2 SM;Nordeste;LinkedIn;5.6;Notebook;Semanalmente;7;Sim;Não;192.68;3;Heavy Digital
290;27;Feminino;Médio;Até 2 SM;Sul;YouTube;3.8;Notebook;Diariamente;3;Não;Não;180.8;9;Tradicional
291;32;Feminino;Superior Incompleto;Até 2 SM;Norte;Instagram;5.9;Notebook;Nunca;3;Sim;Não;43.21;6;Tradicional
292;29;Masculino;Superior Incompleto;2-5 SM;Nordeste;X/Twitter;2.1;Smartphone;Semanalmente;4;Sim;Não;79.9;4;Consumidor Moderado
293;27;Feminino;Superior Incompleto;2-5 SM;Sudeste;Globoplay;5.8;Smartphone;Nunca;3;Não;Não;17.72;9;Info Seeker
294;45;Masculino;Superior Completo;5-10 SM;Norte;Netflix;2.5;Smartphone;Semanalmente;8;Não;Não;26.16;6;Consumidor Moderado
295;39;Feminino;Médio;Até 2 SM;Sudeste;YouTube;4.6;Smartphone;Diariamente;3;Não;Não;38.73;6;Tradicional
296;26;Feminino;Superior Incompleto;Acima 20 SM;Centro-Oeste;Globoplay;6.0;Smartphone;Nunca;7;Sim;Sim;121.0;9;Tradicional
297;45;Feminino;Médio;10-20 SM;Sudeste;YouTube;2.7;Smartphone;Várias vezes ao dia;5;Não;Não;198.11;3;Tradicional
298;38;Feminino;Fundamental;Até 2 SM;Sul;WhatsApp;4.0;Notebook;Diariamente;6;Não;Não;199.25;8;Heavy Digital
299;44;Masculino;Superior Completo;2-5 SM;Nordeste;Facebook;2.8;Smartphone;Raramente;6;Não;Sim;130.12;7;Heavy Digital
300;42;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;Instagram;3.4;Smartphone;Semanalmente;6;Não;Sim;142.2;3;Consumidor Moderado
301;25;Masculino;Superior Completo;Até 2 SM;Norte;TikTok;5.5;Notebook;Raramente;5;Não;Não;126.46;9;Tradicional
302;28;Masculino;Médio;Até 2 SM;Norte;YouTube;5.4;Smart TV;Raramente;4;Sim;Não;152.9;4;Info Seeker
303;43;Masculino;Fundamental;Até 2 SM;Sul;YouTube;2.8;Tablet;Diariamente;7;Não;Não;48.42;7;Consumidor Moderado
304;42;Feminino;Superior Completo;2-5 SM;Norte;WhatsApp;1.5;Smartphone;Raramente;7;Sim;Não;78.2;4;Consumidor Moderado
305;34;Masculino;Superior Completo;Até 2 SM;Centro-Oeste;X/Twitter;4.4;Notebook;Diariamente;5;Sim;Não;158.01;8;Info Seeker
306;36;Feminino;Superior Completo;Acima 20 SM;Norte;Netflix;5.3;Smartphone;Raramente;6;Sim;Não;26.81;7;Info Seeker
307;50;Feminino;Superior Incompleto;5-10 SM;Nordeste;LinkedIn;1.8;Smartphone;Diariamente;4;Não;Não;83.63;8;Tradicional
308;27;Feminino;Pós-Graduação;2-5 SM;Norte;X/Twitter;5.9;Smartphone;Diariamente;4;Não;Não;68.21;7;Heavy Digital
309;41;Feminino;Pós-Graduação;Até 2 SM;Nordeste;TikTok;2.9;Smartphone;Nunca;8;Sim;Não;131.34;5;Heavy Digital
310;32;Masculino;Pós-Graduação;2-5 SM;Nordeste;LinkedIn;3.0;Smartphone;Nunca;3;Não;Não;122.07;3;Heavy Digital
311;32;Masculino;Superior Incompleto;Até 2 SM;Sul;X/Twitter;3.9;Smartphone;Nunca;7;Sim;Não;173.23;10;Heavy Digital
312;48;Feminino;Superior Completo;Até 2 SM;Centro-Oeste;LinkedIn;2.6;Smartphone;Nunca;6;Não;Não;179.72;6;Consumidor Moderado
313;44;Masculino;Superior Completo;Acima 20 SM;Nordeste;TikTok;3.5;Smartphone;Nunca;6;Não;Não;84.86;9;Tradicional
314;44;Masculino;Superior Completo;2-5 SM;Norte;Facebook;3.9;Tablet;Semanalmente;8;Não;Sim;33.11;10;Info Seeker
315;50;Masculino;Superior Completo;2-5 SM;Norte;Instagram;2.3;Smartphone;Raramente;7;Sim;Não;31.37;10;Heavy Digital
316;35;Feminino;Médio;Até 2 SM;Nordeste;LinkedIn;2.9;Notebook;Diariamente;7;Não;Não;168.7;9;Consumidor Moderado
317;43;Feminino;Superior Completo;2-5 SM;Nordeste;X/Twitter;2.3;Smartphone;Nunca;6;Não;Não;175.98;9;Heavy Digital
318;31;Masculino;Pós-Graduação;2-5 SM;Sul;Instagram;2.6;Smartphone;Raramente;5;Sim;Não;185.68;9;Consumidor Moderado
319;38;Masculino;Médio;5-10 SM;Norte;TikTok;3.6;Smartphone;Nunca;6;Sim;Não;74.12;5;Heavy Digital
320;33;Outro;Fundamental;2-5 SM;Sudeste;Globoplay;4.4;Smartphone;Várias vezes ao dia;3;Sim;Não;50.23;7;Heavy Digital
321;36;Feminino;Médio;2-5 SM;Nordeste;TikTok;5.5;Smart TV;Diariamente;3;Não;Não;165.33;8;Heavy Digital
322;42;Feminino;Superior Incompleto;2-5 SM;Norte;LinkedIn;3.9;Smartphone;Nunca;7;Sim;Não;41.91;9;Info Seeker
323;25;Masculino;Médio;2-5 SM;Nordeste;YouTube;4.2;Smart TV;Diariamente;4;Não;Não;138.87;5;Info Seeker
324;60;Feminino;Superior Incompleto;5-10 SM;Norte;Instagram;1.3;Notebook;Semanalmente;7;Não;Não;71.63;10;Consumidor Moderado
325;22;Masculino;Superior Incompleto;5-10 SM;Sudeste;Instagram;7.0;Smartphone;Diariamente;2;Sim;Sim;53.15;6;Consumidor Moderado
326;20;Feminino;Pós-Graduação;2-5 SM;Centro-Oeste;YouTube;7.6;Smartphone;Diariamente;3;Sim;Não;83.87;7;Info Seeker
327;48;Feminino;Fundamental;2-5 SM;Nordeste;X/Twitter;3.7;Smart TV;Diariamente;8;Não;Não;152.27;5;Tradicional
328;44;Masculino;Pós-Graduação;Até 2 SM;Centro-Oeste;Spotify;3.4;Notebook;Diariamente;6;Não;Sim;165.9;7;Consumidor Moderado
329;42;Masculino;Superior Completo;2-5 SM;Centro-Oeste;Facebook;3.4;Tablet;Várias vezes ao dia;6;Não;Não;100.53;5;Info Seeker
330;42;Masculino;Superior Incompleto;2-5 SM;Norte;Instagram;1.1;Notebook;Nunca;8;Não;Não;20.97;3;Tradicional
331;34;Feminino;Superior Incompleto;2-5 SM;Nordeste;Facebook;3.5;Smartphone;Várias vezes ao dia;5;Não;Não;102.57;6;Heavy Digital
332;24;Feminino;Superior Completo;10-20 SM;Sul;Netflix;3.2;Smartphone;Várias vezes ao dia;4;Não;Não;23.7;7;Heavy Digital
333;35;Masculino;Médio;5-10 SM;Sudeste;TikTok;5.7;Smartphone;Semanalmente;6;Sim;Não;126.27;5;Consumidor Moderado
334;26;Feminino;Superior Completo;Acima 20 SM;Nordeste;Facebook;4.4;Notebook;Várias vezes ao dia;3;Não;Sim;75.86;4;Consumidor Moderado
335;46;Masculino;Superior Completo;2-5 SM;Norte;TikTok;3.1;Notebook;Nunca;5;Não;Não;5.01;3;Info Seeker
336;33;Feminino;Médio;Acima 20 SM;Norte;TikTok;4.1;Notebook;Raramente;3;Sim;Não;42.04;7;Consumidor Moderado
337;25;Masculino;Fundamental;10-20 SM;Centro-Oeste;Facebook;5.6;Smartphone;Várias vezes ao dia;6;Sim;Não;160.82;3;Consumidor Moderado
338;31;Feminino;Pós-Graduação;5-10 SM;Nordeste;LinkedIn;3.4;Smart TV;Nunca;6;Não;Não;193.25;3;Info Seeker
339;39;Masculino;Superior Incompleto;5-10 SM;Nordeste;Globoplay;4.0;Smartphone;Várias vezes ao dia;5;Não;Não;42.06;7;Heavy Digital
340;28;Feminino;Superior Completo;5-10 SM;Sudeste;Spotify;4.6;Smartphone;Nunca;6;Sim;Não;19.63;3;Heavy Digital
341;25;Feminino;Superior Incompleto;2-5 SM;Norte;X/Twitter;2.3;Smartphone;Semanalmente;6;Sim;Não;182.77;8;Tradicional
342;37;Feminino;Médio;Até 2 SM;Centro-Oeste;WhatsApp;4.9;Notebook;Várias vezes ao dia;5;Não;Não;132.06;5;Consumidor Moderado
343;37;Feminino;Médio;5-10 SM;Sudeste;WhatsApp;4.5;Smart TV;Várias vezes ao dia;6;Sim;Sim;90.44;6;Tradicional
344;28;Masculino;Superior Completo;2-5 SM;Nordeste;Instagram;5.9;Smartphone;Várias vezes ao dia;7;Não;Não;189.47;4;Info Seeker
345;29;Feminino;Médio;Até 2 SM;Centro-Oeste;Globoplay;4.9;Smartphone;Várias vezes ao dia;5;Não;Não;168.9;9;Heavy Digital
346;37;Feminino;Médio;5-10 SM;Nordeste;Instagram;5.9;Notebook;Diariamente;7;Não;Não;101.27;4;Heavy Digital
347;18;Masculino;Pós-Graduação;5-10 SM;Sul;TikTok;6.4;Smartphone;Semanalmente;3;Não;Não;54.31;4;Info Seeker
348;18;Feminino;Fundamental;10-20 SM;Norte;Netflix;6.8;Smartphone;Diariamente;6;Não;Sim;29.13;7;Heavy Digital
349;26;Feminino;Médio;Até 2 SM;Sudeste;TikTok;2.4;Notebook;Nunca;5;Sim;Não;151.43;9;Info Seeker
350;32;Outro;Superior Incompleto;2-5 SM;Nordeste;Instagram;5.3;Smart TV;Várias vezes ao dia;6;Sim;Sim;141.92;6;Info Seeker
351;38;Masculino;Médio;Acima 20 SM;Norte;Instagram;3.8;Notebook;Diariamente;6;Sim;Não;129.43;6;Consumidor Moderado
352;52;Masculino;Médio;5-10 SM;Nordeste;Instagram;1.7;Smartphone;Raramente;6;Sim;Não;11.16;6;Consumidor Moderado
353;45;Feminino;Médio;2-5 SM;Sul;Facebook;2.9;Smart TV;Semanalmente;6;Sim;Não;87.2;6;Consumidor Moderado
354;33;Masculino;Superior Incompleto;Até 2 SM;Sudeste;Netflix;4.0;Smartphone;Várias vezes ao dia;3;Não;Não;74.54;4;Info Seeker
355;34;Feminino;Superior Completo;10-20 SM;Centro-Oeste;X/Twitter;5.6;Smartphone;Semanalmente;7;Sim;Não;71.46;8;Heavy Digital
356;22;Masculino;Superior Incompleto;Até 2 SM;Norte;YouTube;6.1;Smartphone;Semanalmente;3;Não;Não;128.62;5;Consumidor Moderado
357;34;Feminino;Superior Completo;2-5 SM;Nordeste;Facebook;2.1;Smartphone;Semanalmente;4;Não;Não;48.79;7;Heavy Digital
358;31;Feminino;Pós-Graduação;Até 2 SM;Nordeste;WhatsApp;5.4;Smartphone;Raramente;7;Sim;Não;12.11;3;Info Seeker
359;38;Masculino;Médio;Até 2 SM;Centro-Oeste;LinkedIn;2.9;Smartphone;Semanalmente;3;Sim;Não;92.99;10;Consumidor Moderado
360;25;Feminino;Superior Completo;5-10 SM;Norte;Instagram;5.4;Tablet;Raramente;5;Sim;Não;85.48;7;Consumidor Moderado
361;41;Feminino;Pós-Graduação;10-20 SM;Centro-Oeste;Facebook;3.0;Notebook;Semanalmente;8;Sim;Não;129.59;7;Heavy Digital
362;53;Feminino;Superior Completo;2-5 SM;Centro-Oeste;WhatsApp;3.6;Smartphone;Raramente;7;Não;Não;112.95;3;Info Seeker
363;33;Feminino;Fundamental;10-20 SM;Nordeste;Instagram;2.4;Smartphone;Diariamente;5;Sim;Sim;28.81;10;Info Seeker
364;39;Feminino;Superior Completo;Até 2 SM;Norte;X/Twitter;2.6;Notebook;Diariamente;5;Sim;Não;161.64;6;Heavy Digital
365;43;Outro;Superior Completo;2-5 SM;Norte;Netflix;3.8;Notebook;Semanalmente;7;Não;Não;82.66;10;Heavy Digital
366;30;Masculino;Fundamental;Até 2 SM;Norte;Instagram;6.0;Smartphone;Nunca;7;Não;Sim;116.58;6;Consumidor Moderado
367;37;Masculino;Médio;2-5 SM;Sudeste;Facebook;5.7;Smartphone;Diariamente;7;Não;Não;159.4;7;Tradicional
368;35;Feminino;Superior Incompleto;2-5 SM;Sul;WhatsApp;2.8;Smartphone;Várias vezes ao dia;3;Não;Sim;129.23;10;Tradicional
369;36;Feminino;Superior Completo;Até 2 SM;Norte;Spotify;5.3;Smartphone;Raramente;6;Não;Não;120.48;5;Consumidor Moderado
370;25;Masculino;Pós-Graduação;Até 2 SM;Sudeste;TikTok;5.3;Smartphone;Raramente;6;Não;Não;23.35;4;Consumidor Moderado
371;35;Feminino;Médio;2-5 SM;Nordeste;Instagram;4.0;Smartphone;Raramente;6;Sim;Não;58.34;5;Consumidor Moderado
372;40;Feminino;Superior Completo;10-20 SM;Sudeste;X/Twitter;1.7;Smartphone;Raramente;4;Não;Não;24.18;6;Tradicional
