ID;Idade;Genero;Renda_Mensal_R$;Escolaridade;Estado_Civil;Filhos;Cidade;UF;Canal_Compra_Preferido;Influencia_Decisao;Categoria_Produto_Frequente;Gasto_Medio_Mensal_R$;Freq_Compra_Online_Mes;Usa_Cupom_Desconto;Segue_Influenciadores;Compra_Por_Impulso;Classe_Consumidor
168;22;Masculino;2357;Médio;União Estável;1;Parnaíba;PI;App Mobile;Amigos/Família;Moda;610.94;14;Sim;Sim;Sim;Comprador Regular
169;28;Masculino;7452;Superior Completo;Solteiro;1;Timon;MA;Loja Física;Influenciadores;Viagens;443.07;18;Sim;Sim;Não;Comprador Regular
170;23;Masculino;2035;Pós-Graduação;Viúvo;2;Montes Claros;MG;Marketplace;Reviews Online;Esportes;1556.65;12;Sim;Sim;Não;Comprador Intenso
171;31;Feminino;12723;Fundamental;Casado;1;Ariquemes;RO;Marketplace;Preço;Livros;2333.82;20;Sim;Não;Não;Comprador Intenso
172;51;Masculino;5954;Superior Incompleto;Solteiro;2;Blumenau;SC;Redes Sociais;Reviews Online;Eletrônicos;387.83;15;Não;Não;Não;Comprador Regular
173;18;Feminino;1711;Superior Incompleto;Casado;2;Piripiri;PI;Redes Sociais;Redes Sociais;Moda;2366.02;2;Sim;Sim;Não;Comprador Regular
174;18;Masculino;11871;Pós-Graduação;Casado;0;Tarauacá;AC;Loja Física;Amigos/Família;Moda;803.04;8;Sim;Não;Não;Comprador Regular
175;49;Feminino;11256;Pós-Graduação;Solteiro;0;Manaus;AM;App Mobile;Reviews Online;Alimentos;1235.93;4;Não;Não;Não;Comprador Regular
176;30;Feminino;10798;Médio;Casado;1;Cruzeiro do Sul;AC;Loja Física;Marca;Esportes;1944.35;15;Não;Sim;Sim;Comprador Intenso
177;25;Feminino;3418;Superior Completo;Casado;0;Campos dos Goytacazes;RJ;E-commerce;Redes Sociais;Cosméticos;897.66;11;Sim;Sim;Não;Comprador Regular
178;44;Masculino;6677;Superior Completo;Viúvo;1;Vila Velha;ES;App Mobile;Marca;Moda;2086.53;10;Não;Sim;Sim;Comprador Regular
179;26;Feminino;11308;Superior Incompleto;Solteiro;1;Coari;AM;Redes Sociais;Amigos/Família;Moda;831.17;15;Sim;Sim;Não;Comprador Regular
180;53;Feminino;1296;Superior Completo;Casado;3;Macapá;AP;App Mobile;Propaganda TV;Esportes;2765.66;18;Sim;Sim;Não;Comprador Intenso
181;40;Feminino;12467;Superior Incompleto;Viúvo;3;João Pessoa;PB;Loja Física;Experiência Anterior;Cosméticos;2528.18;4;Não;Não;Não;Comprador Regular
182;27;Feminino;3498;Superior Completo;Divorciado;0;Porto Nacional;TO;Marketplace;Propaganda TV;Saúde;391.81;4;Sim;Sim;Não;Comprador Econômico
183;56;Feminino;5318;Superior Completo;União Estável;1;Belford Roxo;RJ;Redes Sociais;Influenciadores;Alimentos;907.26;9;Sim;Sim;Não;Comprador Regular
184;26;Masculino;1669;Pós-Graduação;Casado;0;Gurupi;TO;App Mobile;Redes Sociais;Livros;1461.18;3;Sim;Sim;Sim;Comprador Regular
185;41;Masculino;1833;Superior Completo;Divorciado;1;Sena Madureira;AC;E-commerce;Experiência Anterior;Eletrônicos;1243.94;3;Sim;Sim;Sim;Comprador Regular
186;36;Masculino;8708;Pós-Graduação;Casado;1;Cabedelo;PB;Redes Sociais;Redes Sociais;Entretenimento;441.41;3;Não;Sim;Não;Comprador Econômico
187;47;Feminino;1469;Superior Incompleto;Solteiro;0;Rio Branco;AC;Marketplace;Marca;Cosméticos;203.79;15;Sim;Não;Não;Comprador Regular
188;50;Masculino;6209;Superior Incompleto;Solteiro;0;Viamão;RS;E-commerce;Amigos/Família;Esportes;1299.91;19;Não;Sim;Não;Comprador Regular
189;33;Masculino;2337;Superior Incompleto;Divorciado;0;Campo Grande;MS;Loja Física;Experiência Anterior;Moda;2084.85;9;Não;Não;Não;Comprador Regular
190;24;Feminino;4303;Pós-Graduação;Divorciado;2;Contagem;MG;E-commerce;Amigos/Família;Casa/Decoração;227.37;15;Sim;Não;Não;Comprador Regular
191;38;Feminino;1731;Médio;Casado;0;Belo Horizonte;MG;E-commerce;Preço;Cosméticos;1684.11;10;Não;Não;Não;Comprador Regular
192;25;Feminino;9803;Superior Completo;Solteiro;1;Campo Grande;MS;Redes Sociais;Experiência Anterior;Casa/Decoração;2860.37;7;Sim;Sim;Não;Comprador Regular
193;55;Feminino;2077;Superior Completo;Solteiro;1;Águas Lindas de Goiás;GO;Loja Física;Reviews Online;Esportes;1739.43;2;Sim;Sim;Não;Comprador Regular
194;34;Feminino;1431;Pós-Graduação;Divorciado;0;Sorriso;MT;Loja Física;Reviews Online;Moda;1706.22;2;Sim;Sim;Não;Comprador Regular
195;28;Masculino;29596;Fundamental;Divorciado;0;Caucaia;CE;E-commerce;Influenciadores;Cosméticos;2893.6;16;Sim;Sim;Não;Comprador Intenso
196;35;Feminino;4223;Médio;Casado;1;Palmeira dos Índios;AL;App Mobile;Reviews Online;Livros;1788.68;16;Não;Sim;Não;Comprador Intenso
197;18;Masculino;1830;Superior Incompleto;Solteiro;0;São Gonçalo;RJ;Loja Física;Influenciadores;Eletrônicos;1846.62;10;Não;Sim;Sim;Comprador Regular
198;22;Feminino;7877;Superior Completo;Solteiro;0;Goiânia;GO;App Mobile;Amigos/Família;Cosméticos;906.54;10;Não;Não;Não;Comprador Regular
199;46;Feminino;21850;Fundamental;Casado;2;Camaçari;BA;E-commerce;Amigos/Família;Moda;672.69;7;Não;Não;Sim;Comprador Regular
200;25;Feminino;6499;Pós-Graduação;Divorciado;1;Paulista;PE;Loja Física;Propaganda TV;Moda;209.65;19;Não;Sim;Sim;Comprador Regular
201;21;Masculino;11290;Médio;Solteiro;2;Teresina;PI;Loja Física;Amigos/Família;Viagens;1546.75;1;Sim;Não;Não;Comprador Regular
202;38;Feminino;1243;Superior Completo;Casado;0;Ananindeua;PA;App Mobile;Reviews Online;Alimentos;1250.69;18;Não;Sim;Não;Comprador Regular
203;46;Feminino;38274;Superior Completo;Casado;0;Corumbá;MS;Redes Sociais;Experiência Anterior;Viagens;2973.47;16;Sim;Sim;Não;Comprador Intenso
204;40;Feminino;3760;Médio;Solteiro;2;Abaetetuba;PA;Redes Sociais;Propaganda TV;Saúde;1612.45;18;Sim;Sim;Não;Comprador Intenso
205;43;Feminino;9653;Superior Incompleto;Solteiro;1;Penedo;AL;Redes Sociais;Influenciadores;Casa/Decoração;2783.26;4;Sim;Não;Não;Comprador Regular
206;24;Feminino;11703;Médio;Divorciado;2;São Cristóvão;SE;App Mobile;Marca;Livros;1278.91;12;Sim;Sim;Não;Comprador Regular
207;18;Feminino;1585;Fundamental;União Estável;1;Campos dos Goytacazes;RJ;Marketplace;Amigos/Família;Livros;1066.52;8;Sim;Sim;Não;Comprador Regular
208;49;Masculino;5374;Fundamental;Solteiro;0;Três Lagoas;MS;E-commerce;Propaganda TV;Alimentos;2412.53;19;Não;Não;Não;Comprador Intenso
209;29;Feminino;4352;Superior Completo;Casado;1;Betim;MG;App Mobile;Influenciadores;Casa/Decoração;562.19;11;Sim;Não;Não;Comprador Regular
210;30;Masculino;8958;Médio;Casado;0;Colombo;PR;Redes Sociais;Propaganda TV;Casa/Decoração;2173.72;12;Não;Não;Sim;Comprador Intenso
211;47;Feminino;23610;Superior Completo;Solteiro;1;Macaíba;RN;E-commerce;Experiência Anterior;Saúde;1993.01;18;Sim;Sim;Não;Comprador Intenso
212;39;Feminino;9037;Médio;União Estável;2;Aparecida de Goiânia;GO;Loja Física;Preço;Cosméticos;208.37;14;Não;Não;Sim;Comprador Regular
213;38;Feminino;5443;Médio;Divorciado;0;Jaboatão dos Guararapes;PE;Marketplace;Amigos/Família;Eletrônicos;2101.7;13;Sim;Não;Sim;Comprador Intenso
214;56;Feminino;15973;Superior Completo;União Estável;1;Betim;MG;Marketplace;Propaganda TV;Eletrônicos;1362.57;1;Sim;Sim;Não;Comprador Regular
215;25;Masculino;3000;Médio;Solteiro;1;Rio Branco;AC;App Mobile;Experiência Anterior;Saúde;560.3;16;Não;Sim;Sim;Comprador Regular
216;43;Feminino;5461;Superior Incompleto;Divorciado;1;Parintins;AM;Marketplace;Reviews Online;Cosméticos;2335.06;3;Sim;Não;Não;Comprador Regular
217;33;Masculino;3595;Pós-Graduação;Casado;0;Rio Verde;GO;App Mobile;Marca;Saúde;1235.59;16;Sim;Não;Não;Comprador Regular
218;35;Feminino;10273;Superior Completo;Casado;1;Campinas;SP;Loja Física;Influenciadores;Casa/Decoração;2773.97;19;Sim;Sim;Sim;Comprador Intenso
219;49;Masculino;9505;Superior Completo;União Estável;0;Feira de Santana;BA;App Mobile;Marca;Entretenimento;773.28;14;Sim;Sim;Não;Comprador Regular
220;38;Feminino;3746;Superior Incompleto;Divorciado;3;Plano Piloto;DF;App Mobile;Redes Sociais;Eletrônicos;1225.53;1;Sim;Sim;Sim;Comprador Regular
221;38;Masculino;11326;Superior Completo;Casado;1;Tarauacá;AC;Marketplace;Influenciadores;Viagens;1034.71;16;Sim;Sim;Não;Comprador Regular
222;44;Feminino;8195;Superior Incompleto;Divorciado;3;Maringá;PR;E-commerce;Experiência Anterior;Viagens;1765.64;15;Sim;Sim;Não;Comprador Intenso
223;28;Masculino;13416;Superior Completo;Solteiro;0;Pelotas;RS;Marketplace;Preço;Casa/Decoração;1241.25;6;Sim;Não;Sim;Comprador Regular
224;23;Masculino;2042;Superior Completo;Casado;1;Betim;MG;Redes Sociais;Redes Sociais;Esportes;2750.01;20;Sim;Sim;Sim;Comprador Intenso
225;21;Masculino;43872;Superior Incompleto;União Estável;3;Paço do Lumiar;MA;Loja Física;Preço;Cosméticos;712.16;4;Não;Não;Não;Comprador Econômico
226;18;Masculino;12503;Fundamental;Divorciado;1;Penedo;AL;Marketplace;Marca;Saúde;512.89;19;Sim;Não;Não;Comprador Regular
227;55;Feminino;1678;Médio;Casado;1;Belo Horizonte;MG;App Mobile;Reviews Online;Eletrônicos;85.14;4;Sim;Sim;Sim;Comprador Impulsivo
228;20;Feminino;5311;Superior Incompleto;Viúvo;0;Rio Verde;GO;Redes Sociais;Preço;Eletrônicos;748.59;2;Não;Sim;Não;Comprador Econômico
229;30;Masculino;6003;Pós-Graduação;Divorciado;0;Vitória da Conquista;BA;Loja Física;Preço;Livros;1344.5;1;Não;Não;Não;Comprador Regular
230;29;Masculino;1650;Médio;Solteiro;0;Oiapoque;AP;App Mobile;Amigos/Família;Esportes;987.36;11;Não;Não;Não;Comprador Regular
231;36;Masculino;2242;Fundamental;Solteiro;0;Santana;AP;E-commerce;Influenciadores;Viagens;2247.59;5;Sim;Não;Não;Comprador Regular
232;41;Masculino;35678;Superior Completo;Divorciado;2;Caxias do Sul;RS;Marketplace;Amigos/Família;Eletrônicos;738.69;15;Não;Sim;Sim;Comprador Regular
233;42;Feminino;31052;Pós-Graduação;Divorciado;2;Paraíso do Tocantins;TO;E-commerce;Preço;Cosméticos;1019.44;0;Não;Não;Não;Comprador Regular
234;26;Feminino;11906;Superior Incompleto;Solteiro;1;Porto Alegre;RS;E-commerce;Amigos/Família;Moda;2581.92;19;Sim;Não;Não;Comprador Intenso
235;31;Feminino;41011;Pós-Graduação;União Estável;2;Plano Piloto;DF;Redes Sociais;Propaganda TV;Eletrônicos;2019.64;2;Sim;Não;Sim;Comprador Regular
236;36;Feminino;1498;Superior Incompleto;Casado;1;Sorriso;MT;Redes Sociais;Influenciadores;Viagens;605.83;17;Sim;Sim;Sim;Comprador Regular
237;30;Feminino;3158;Médio;Divorciado;1;Porto Velho;RO;Loja Física;Experiência Anterior;Viagens;1265.45;11;Sim;Sim;Não;Comprador Regular
238;50;Feminino;3576;Médio;Casado;1;Rio Branco;AC;Marketplace;Influenciadores;Eletrônicos;2403.58;10;Sim;Sim;Sim;Comprador Regular
239;38;Masculino;4576;Superior Completo;Casado;0;Curitiba;PR;App Mobile;Redes Sociais;Alimentos;2149.35;1;Sim;Sim;Não;Comprador Regular
240;41;Masculino;2264;Médio;Casado;1;Tangará da Serra;MT;E-commerce;Reviews Online;Eletrônicos;2400.2;10;Sim;Não;Não;Comprador Regular
241;40;Masculino;4866;Superior Completo;Solteiro;2;Joinville;SC;Marketplace;Propaganda TV;Viagens;2705.94;9;Sim;Sim;Não;Comprador Regular
242;45;Feminino;35268;Fundamental;Casado;1;Piripiri;PI;Redes Sociais;Influenciadores;Cosméticos;714.7;11;Sim;Não;Não;Comprador Regular
243;34;Feminino;1302;Pós-Graduação;Solteiro;0;Sobral;CE;App Mobile;Reviews Online;Esportes;1230.28;11;Não;Não;Sim;Comprador Regular
244;18;Masculino;10457;Pós-Graduação;Divorciado;3;Tefé;AM;App Mobile;Propaganda TV;Eletrônicos;2323.09;19;Sim;Sim;Não;Comprador Intenso
245;37;Masculino;11537;Superior Completo;Viúvo;3;Ponta Porã;MS;App Mobile;Preço;Alimentos;263.46;6;Sim;Sim;Sim;Comprador Regular
246;25;Masculino;5244;Pós-Graduação;União Estável;1;Lauro de Freitas;BA;Loja Física;Redes Sociais;Livros;2969.88;14;Não;Sim;Sim;Comprador Intenso
247;27;Masculino;36368;Pós-Graduação;Solteiro;1;Ji-Paraná;RO;Redes Sociais;Amigos/Família;Eletrônicos;1974.16;17;Não;Não;Não;Comprador Intenso
248;39;Feminino;2354;Médio;Solteiro;3;Joinville;SC;Marketplace;Reviews Online;Esportes;2619.57;3;Não;Não;Não;Comprador Regular
249;46;Masculino;1656;Superior Completo;Viúvo;0;Sinop;MT;App Mobile;Redes Sociais;Saúde;2470.36;9;Não;Não;Não;Comprador Regular
250;33;Feminino;9905;Pós-Graduação;Solteiro;3;Araguaína;TO;Redes Sociais;Influenciadores;Viagens;2798.55;8;Sim;Sim;Não;Comprador Regular
251;36;Masculino;2171;Superior Completo;Casado;1;Lagarto;SE;Marketplace;Reviews Online;Livros;411.53;12;Sim;Sim;Não;Comprador Regular
252;51;Masculino;4034;Superior Incompleto;Casado;1;Várzea Grande;MT;App Mobile;Reviews Online;Alimentos;214.25;2;Sim;Sim;Não;Comprador Econômico
253;35;Outro;2430;Superior Completo;Solteiro;1;Santarém;PA;E-commerce;Experiência Anterior;Cosméticos;597.62;13;Sim;Sim;Não;Comprador Regular
254;61;Masculino;20897;Médio;União Estável;0;Criciúma;SC;Redes Sociais;Amigos/Família;Casa/Decoração;1180.15;15;Não;Não;Não;Comprador Regular
255;39;Masculino;6411;Superior Completo;Casado;1;Pacaraima;RR;Marketplace;Redes Sociais;Entretenimento;213.37;20;Não;Sim;Não;Comprador Regular
256;18;Masculino;2001;Médio;Casado;1;Campina Grande;PB;Loja Física;Experiência Anterior;Moda;2635.58;12;Não;Não;Sim;Comprador Intenso
257;41;Masculino;8433;Superior Completo;Casado;2;Salvador;BA;Marketplace;Propaganda TV;Saúde;2940.66;10;Não;Não;Não;Comprador Regular
258;37;Masculino;3440;Médio;Divorciado;3;Ribeirão Preto;SP;E-commerce;Reviews Online;Livros;2830.57;2;Sim;Sim;Não;Comprador Regular
259;47;Masculino;12444;Pós-Graduação;Divorciado;0;Sorriso;MT;App Mobile;Amigos/Família;Saúde;2590.08;8;Sim;Sim;Não;Comprador Regular
260;40;Masculino;3035;Superior Completo;Casado;0;Sobral;CE;Loja Física;Influenciadores;Entretenimento;1755.94;0;Não;Sim;Não;Comprador Regular
261;31;Masculino;5229;Médio;União Estável;2;Sena Madureira;AC;E-commerce;Influenciadores;Entretenimento;2909.84;13;Não;Sim;Sim;Comprador Intenso
262;19;Masculino;5466;Fundamental;Solteiro;3;Petrópolis;RJ;App Mobile;Reviews Online;Cosméticos;1124.0;19;Sim;Não;Não;Comprador Regular
263;30;Feminino;1729;Superior Completo;Solteiro;0;Cruzeiro do Sul;AC;App Mobile;Preço;Entretenimento;269.41;12;Sim;Não;Não;Comprador Regular
264;23;Feminino;1380;Médio;Casado;2;Abaetetuba;PA;Redes Sociais;Experiência Anterior;Esportes;2369.94;16;Sim;Não;Não;Comprador Intenso
265;26;Feminino;1309;Superior Completo;Casado;2;Osasco;SP;App Mobile;Preço;Livros;246.61;14;Sim;Não;Sim;Comprador Regular
266;39;Feminino;25236;Superior Completo;Solteiro;0;São José;SC;App Mobile;Experiência Anterior;Entretenimento;1973.41;6;Sim;Sim;Não;Comprador Regular
267;51;Masculino;2510;Médio;Casado;1;Chapecó;SC;E-commerce;Experiência Anterior;Cosméticos;376.0;11;Sim;Não;Não;Comprador Regular
268;37;Feminino;4262;Pós-Graduação;Divorciado;0;Curitiba;PR;Loja Física;Preço;Cosméticos;1033.61;20;Sim;Não;Sim;Comprador Regular
269;19;Masculino;3366;Superior Incompleto;Casado;2;Vitória da Conquista;BA;E-commerce;Marca;Saúde;2566.33;3;Sim;Sim;Sim;Comprador Regular
270;37;Masculino;5262;Superior Completo;Casado;0;Itacoatiara;AM;App Mobile;Reviews Online;Livros;1615.74;5;Não;Sim;Não;Comprador Regular
271;46;Masculino;6289;Superior Completo;Casado;1;São Cristóvão;SE;Redes Sociais;Reviews Online;Saúde;1774.42;20;Sim;Sim;Sim;Comprador Intenso
272;26;Feminino;38327;Pós-Graduação;Casado;2;Ribeirão das Neves;MG;Loja Física;Influenciadores;Casa/Decoração;2764.19;15;Sim;Não;Não;Comprador Intenso
273;31;Masculino;12305;Pós-Graduação;Casado;1;Itacoatiara;AM;Marketplace;Influenciadores;Eletrônicos;678.5;5;Sim;Sim;Sim;Comprador Impulsivo
274;33;Feminino;35308;Superior Completo;Divorciado;0;Rio Largo;AL;Redes Sociais;Marca;Moda;1231.03;1;Não;Não;Não;Comprador Regular
275;24;Feminino;2343;Superior Incompleto;Solteiro;1;Parnaíba;PI;App Mobile;Reviews Online;Casa/Decoração;2637.38;2;Não;Não;Não;Comprador Regular
276;40;Masculino;2017;Pós-Graduação;União Estável;2;Santarém;PA;Marketplace;Preço;Cosméticos;2232.52;0;Sim;Sim;Sim;Comprador Regular
277;31;Masculino;6132;Médio;Solteiro;0;Floriano;PI;Redes Sociais;Experiência Anterior;Livros;833.67;9;Sim;Sim;Não;Comprador Regular
278;37;Feminino;11056;Superior Completo;Casado;0;Goiânia;GO;Redes Sociais;Reviews Online;Eletrônicos;2533.76;14;Não;Sim;Não;Comprador Intenso
279;23;Feminino;33613;Superior Incompleto;Casado;2;Viamão;RS;E-commerce;Redes Sociais;Livros;1995.88;7;Sim;Sim;Não;Comprador Regular
280;28;Feminino;1690;Superior Completo;Casado;0;Floriano;PI;E-commerce;Marca;Cosméticos;2638.6;16;Não;Sim;Não;Comprador Intenso
281;40;Feminino;5877;Pós-Graduação;Casado;2;Luziânia;GO;E-commerce;Marca;Livros;170.14;16;Sim;Não;Não;Comprador Regular
282;28;Masculino;4159;Superior Incompleto;Solteiro;1;Nova Iguaçu;RJ;E-commerce;Redes Sociais;Esportes;1661.81;9;Sim;Sim;Não;Comprador Regular
283;51;Masculino;11527;Médio;Casado;0;Itabaiana;SE;Redes Sociais;Experiência Anterior;Livros;1671.86;2;Não;Não;Sim;Comprador Regular
284;28;Masculino;1442;Médio;União Estável;0;Gravataí;RS;Marketplace;Reviews Online;Esportes;1264.11;4;Não;Sim;Sim;Comprador Regular
285;35;Masculino;4357;Superior Completo;Divorciado;0;Colombo;PR;E-commerce;Marca;Livros;695.81;0;Sim;Não;Sim;Comprador Impulsivo
286;43;Feminino;1811;Superior Completo;Casado;1;Parnaíba;PI;Redes Sociais;Redes Sociais;Entretenimento;245.66;11;Sim;Sim;Não;Comprador Regular
287;18;Masculino;26769;Superior Incompleto;União Estável;0;Oiapoque;AP;Loja Física;Propaganda TV;Livros;716.31;6;Sim;Não;Não;Comprador Regular
288;18;Masculino;11027;Superior Completo;Divorciado;2;Caruaru;PE;E-commerce;Marca;Moda;1306.74;3;Sim;Não;Sim;Comprador Regular
289;18;Masculino;2104;Superior Completo;Solteiro;2;Patos;PB;Redes Sociais;Reviews Online;Moda;1865.61;10;Sim;Não;Sim;Comprador Regular
290;46;Feminino;11176;Superior Completo;Casado;2;Parintins;AM;App Mobile;Experiência Anterior;Livros;158.16;8;Não;Sim;Sim;Comprador Regular
291;26;Masculino;12934;Superior Completo;Casado;3;Ji-Paraná;RO;Redes Sociais;Experiência Anterior;Casa/Decoração;906.03;17;Não;Não;Não;Comprador Regular
292;61;Masculino;3934;Superior Completo;Divorciado;2;Parauapebas;PA;App Mobile;Amigos/Família;Cosméticos;1575.09;17;Não;Sim;Sim;Comprador Intenso
293;26;Masculino;5929;Médio;Casado;0;Ceilândia;DF;E-commerce;Preço;Alimentos;1585.33;1;Não;Sim;Não;Comprador Regular
294;35;Feminino;3088;Superior Completo;Divorciado;0;São Gonçalo do Amarante;RN;E-commerce;Propaganda TV;Eletrônicos;1312.61;16;Não;Sim;Não;Comprador Regular
295;49;Outro;4473;Superior Incompleto;União Estável;0;Rorainópolis;RR;Loja Física;Marca;Casa/Decoração;515.6;12;Sim;Sim;Sim;Comprador Regular
296;55;Masculino;7856;Pós-Graduação;Viúvo;3;Patos;PB;Marketplace;Redes Sociais;Cosméticos;1300.33;1;Sim;Sim;Não;Comprador Regular
297;55;Masculino;38679;Superior Incompleto;Casado;2;Rio Largo;AL;Marketplace;Preço;Cosméticos;1476.56;11;Sim;Não;Não;Comprador Regular
298;46;Feminino;24281;Superior Completo;Casado;2;Caruaru;PE;Redes Sociais;Amigos/Família;Entretenimento;1083.82;17;Sim;Não;Não;Comprador Regular
299;44;Masculino;5759;Superior Completo;Casado;0;Santos;SP;Marketplace;Amigos/Família;Viagens;1609.03;3;Sim;Sim;Não;Comprador Regular
300;39;Masculino;7470;Superior Incompleto;Solteiro;1;Rondonópolis;MT;Marketplace;Marca;Viagens;2716.1;8;Sim;Sim;Não;Comprador Regular
301;41;Masculino;20032;Médio;Viúvo;1;Campina Grande;PB;Loja Física;Experiência Anterior;Entretenimento;1297.91;9;Sim;Não;Sim;Comprador Regular
302;26;Masculino;6332;Superior Incompleto;Casado;2;Ananindeua;PA;Redes Sociais;Propaganda TV;Casa/Decoração;2916.12;2;Sim;Sim;Não;Comprador Regular
303;23;Feminino;1994;Médio;Solteiro;1;Cariacica;ES;Loja Física;Amigos/Família;Moda;791.85;3;Sim;Sim;Não;Comprador Econômico
304;32;Feminino;2000;Médio;Casado;1;Niterói;RJ;Marketplace;Propaganda TV;Livros;253.57;18;Sim;Não;Não;Comprador Regular
305;31;Masculino;10683;Superior Completo;Casado;0;Santana;AP;Redes Sociais;Propaganda TV;Saúde;1725.78;6;Sim;Sim;Não;Comprador Regular
306;28;Feminino;2285;Superior Incompleto;Casado;0;Brasília;DF;Loja Física;Reviews Online;Viagens;129.31;9;Sim;Sim;Não;Comprador Regular
307;40;Feminino;5609;Pós-Graduação;Casado;1;Santos;SP;Redes Sociais;Reviews Online;Saúde;868.39;3;Não;Não;Sim;Comprador Regular
308;43;Feminino;6685;Médio;Casado;1;Novo Hamburgo;RS;Loja Física;Experiência Anterior;Cosméticos;2265.04;10;Sim;Sim;Sim;Comprador Regular
309;33;Feminino;2378;Médio;União Estável;1;Gravataí;RS;E-commerce;Preço;Cosméticos;858.23;9;Sim;Sim;Não;Comprador Regular
310;49;Feminino;31112;Fundamental;Casado;3;Penedo;AL;Redes Sociais;Marca;Cosméticos;1152.54;16;Sim;Não;Não;Comprador Regular
311;20;Feminino;2166;Superior Incompleto;Casado;2;São Gonçalo do Amarante;RN;Loja Física;Experiência Anterior;Casa/Decoração;2970.61;6;Não;Sim;Não;Comprador Regular
312;30;Masculino;3996;Médio;Casado;0;Manaus;AM;App Mobile;Redes Sociais;Esportes;379.46;7;Não;Sim;Não;Comprador Regular
313;25;Masculino;2439;Pós-Graduação;Viúvo;0;Águas Lindas de Goiás;GO;App Mobile;Redes Sociais;Eletrônicos;1288.5;10;Não;Não;Não;Comprador Regular
314;18;Feminino;1414;Superior Completo;Solteiro;1;Petrolina;PE;App Mobile;Experiência Anterior;Viagens;1690.41;4;Sim;Não;Sim;Comprador Regular
315;32;Masculino;5587;Superior Completo;Casado;1;Parintins;AM;Marketplace;Experiência Anterior;Eletrônicos;1292.13;2;Sim;Sim;Sim;Comprador Regular
316;31;Masculino;10001;Superior Completo;Casado;1;Santana;AP;Loja Física;Redes Sociais;Saúde;2204.37;15;Sim;Não;Não;Comprador Intenso
317;49;Feminino;2169;Médio;Solteiro;2;Paraíso do Tocantins;TO;Loja Física;Propaganda TV;Alimentos;2586.25;10;Sim;Sim;Sim;Comprador Regular
318;39;Feminino;1244;Médio;Solteiro;2;Caucaia;CE;Redes Sociais;Propaganda TV;Viagens;759.17;16;Sim;Não;Não;Comprador Regular
319;21;Feminino;8048;Fundamental;Solteiro;0;Parnaíba;PI;Loja Física;Reviews Online;Esportes;2223.13;20;Não;Sim;Não;Comprador Intenso
320;53;Masculino;4536;Superior Incompleto;Solteiro;0;Gravataí;RS;Loja Física;Propaganda TV;Esportes;1431.28;11;Sim;Sim;Sim;Comprador Regular
321;46;Feminino;23665;Pós-Graduação;União Estável;2;Manaus;AM;Loja Física;Propaganda TV;Moda;2756.15;7;Sim;Não;Não;Comprador Regular
322;39;Feminino;18938;Médio;Solteiro;2;Criciúma;SC;E-commerce;Redes Sociais;Viagens;227.53;3;Não;Sim;Sim;Comprador Impulsivo
323;30;Masculino;5605;Superior Completo;Divorciado;2;Parnamirim;RN;E-commerce;Preço;Moda;2420.32;16;Sim;Sim;Não;Comprador Intenso
324;22;Masculino;15061;Superior Incompleto;Casado;2;Juiz de Fora;MG;Redes Sociais;Redes Sociais;Viagens;2343.22;14;Sim;Não;Não;Comprador Intenso
325;28;Feminino;46230;Fundamental;Casado;0;Santa Rita;PB;Marketplace;Amigos/Família;Saúde;2737.93;15;Sim;Sim;Não;Comprador Intenso
326;44;Feminino;4071;Superior Incompleto;Viúvo;3;Arapiraca;AL;App Mobile;Experiência Anterior;Viagens;1050.97;7;Não;Não;Não;Comprador Regular
327;53;Feminino;24387;Superior Completo;Viúvo;2;Ponta Porã;MS;Loja Física;Marca;Casa/Decoração;1455.6;9;Sim;Não;Sim;Comprador Regular
328;49;Masculino;6888;Superior Incompleto;Casado;1;Porto Nacional;TO;E-commerce;Experiência Anterior;Saúde;2822.03;16;Sim;Sim;Não;Comprador Intenso
329;27;Masculino;14369;Superior Completo;Solteiro;1;Parauapebas;PA;App Mobile;Influenciadores;Entretenimento;355.07;12;Sim;Sim;Sim;Comprador Regular
330;20;Feminino;1334;Pós-Graduação;União Estável;1;Teresina;PI;E-commerce;Marca;Cosméticos;2796.62;14;Sim;Sim;Não;Comprador Intenso
331;34;Feminino;1324;Médio;Divorciado;0;Ribeirão das Neves;MG;Loja Física;Reviews Online;Cosméticos;2783.02;9;Sim;Sim;Sim;Comprador Regular
332;18;Feminino;4780;Superior Completo;União Estável;0;Belford Roxo;RJ;Loja Física;Propaganda TV;Saúde;606.4;7;Sim;Não;Não;Comprador Regular
333;36;Masculino;3420;Fundamental;Solteiro;0;Cabedelo;PB;Marketplace;Experiência Anterior;Moda;1264.2;20;Não;Sim;Não;Comprador Regular
334;31;Masculino;5857;Fundamental;Divorciado;3;Rorainópolis;RR;App Mobile;Preço;Eletrônicos;538.69;18;Não;Sim;Não;Comprador Regular
335;27;Feminino;6147;Superior Completo;Solteiro;2;Porto Velho;RO;Marketplace;Redes Sociais;Alimentos;2991.49;18;Não;Não;Sim;Comprador Intenso
336;18;Masculino;6170;Fundamental;Viúvo;1;Blumenau;SC;App Mobile;Amigos/Família;Casa/Decoração;1932.71;14;Não;Não;Sim;Comprador Intenso
337;38;Feminino;4475;Médio;Solteiro;2;Macapá;AP;E-commerce;Propaganda TV;Esportes;2295.63;14;Sim;Não;Sim;Comprador Intenso
